item,star,quote
怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,9.4
一部美国近现代史。,阿甘正传,9.4
最美的谎言。,美丽人生,9.5
失去的才是永恒的。 ,泰坦尼克号,9.3
最好的宫崎骏，最好的久石让。 ,千与千寻,9.3
拯救一个人，就是拯救整个世界。,辛德勒的名单,9.4
诺兰给了我们一场无法盗取的梦。,盗梦空间,9.3
小瓦力，大人生。,机器人总动员,9.3
永远都不能忘记你所爱的人。,忠犬八公的故事,9.3
英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,9.2
天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,9.2
一生所爱。,大话西游之大圣娶亲,9.2
如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,9.1
千万不要记恨你的对手，这样会让你失去理智。,教父,9.2
人人心中都有个龙猫，童年就永远不会消失。,龙猫,9.1
爱是一种力量，让我们超越时空感知它的存在。,星际穿越,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉,9.2
香港电影史上永不过时的杰作。,无间道,9.1
满满温情的高雅喜剧。,触不可及,9.2
Tomorrow is another day.,乱世佳人,9.2
平民励志片。 ,当幸福来敲门,9.0
真正的幸福是来自内心深处。,怦然心动,9.0
quote,item,star
希望让人自由。,肖申克的救赎,9.6
风华绝代。,霸王别姬,9.6
怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,9.4
一部美国近现代史。,阿甘正传,9.4
最美的谎言。,美丽人生,9.5
失去的才是永恒的。 ,泰坦尼克号,9.3
最好的宫崎骏，最好的久石让。 ,千与千寻,9.3
拯救一个人，就是拯救整个世界。,辛德勒的名单,9.4
诺兰给了我们一场无法盗取的梦。,盗梦空间,9.3
小瓦力，大人生。,机器人总动员,9.3
永远都不能忘记你所爱的人。,忠犬八公的故事,9.3
英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,9.2
天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,9.2
一生所爱。,大话西游之大圣娶亲,9.2
如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,9.1
千万不要记恨你的对手，这样会让你失去理智。,教父,9.2
人人心中都有个龙猫，童年就永远不会消失。,龙猫,9.1
爱是一种力量，让我们超越时空感知它的存在。,星际穿越,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉,9.2
香港电影史上永不过时的杰作。,无间道,9.1
满满温情的高雅喜剧。,触不可及,9.2
Tomorrow is another day.,乱世佳人,9.2
平民励志片。 ,当幸福来敲门,9.0
真正的幸福是来自内心深处。,怦然心动,9.0
